交易时间,     市场类型,商品代码,昨结,   昨收,  现价,   今开,   最高,   最低, 成交量,   成交额,  持仓量,买价,卖价,买量,卖量
2013/09/22 04:10,tpme,xag,1020.1,1081.1,1032.1,1046.2,1173.2,936.7,4904.92,12000000,123,123,123,123,123,123
2013/09/22 04:20,tpme,xag,1020.1,1081.1,1032.1,1046.2,1173.2,936.7,4904.92,12000000,123,123,123,123,123,123
2013/09/22 04:30,tpme,xag,1020.1,1081.1,1032.1,1046.2,1173.2,936.7,4904.92,12000000,123,123,123,123,123,123
2013/09/21 04:40,tpme,xag,1001.1,1091.1,1042.1,1038.2,1121.2,926.7,4904.92,12000000,123,123,123,123,123,123
2013/09/21 04:50,tpme,xag,1001.1,1091.1,1042.1,1038.2,1121.2,926.7,4904.92,12000000,123,123,123,123,123,123
2013/09/20 05:00,tpme,xag,1006.1,1051.1,1052.1,1020.2,1111.2,923.7,4904.92,12000000,123,123,123,123,123,123
2013/09/20 05:10,tpme,xag,1006.1,1051.1,1052.1,1020.2,1111.2,923.7,4904.92,12000000,123,123,123,123,123,123
2013/09/20 05:20,tpme,xag,1006.1,1051.1,1052.1,1020.2,1111.2,923.7,4904.92,12000000,123,123,123,123,123,123
2013/09/20 05:30,tpme,xag,1006.1,1051.1,1052.1,1020.2,1111.2,923.7,4904.92,12000000,123,123,123,123,123,123
2013/09/20 05:40,tpme,xag,1006.1,1051.1,1052.1,1020.2,1111.2,923.7,4904.92,12000000,123,123,123,123,123,123
2013/09/20 05:40,tpme,xag,1006.1,1051.1,1052.1,1020.2,1111.2,923.7,4904.92,12000000,123,123,123,123,123,123
2013/09/20 05:50,tpme,xag,1006.1,1051.1,1052.1,1020.2,1111.2,923.7,4904.92,12000000,123,123,123,123,123,123
2013/09/19 06:00,tpme,xag,1007.1,1012.1,1061.1,1010.2,1141.2,912.7,4904.92,12000000,123,123,123,123,123,123
2013/09/19 06:10,tpme,xag,1007.1,1012.1,1061.1,1010.2,1141.2,912.7,4904.92,12000000,123,123,123,123,123,123
2013/09/19 06:20,tpme,xag,1007.1,1012.1,1061.1,1010.2,1141.2,912.7,4904.92,12000000,123,123,123,123,123,123
2013/09/19 06:30,tpme,xag,1007.1,1012.1,1061.1,1010.2,1141.2,912.7,4904.92,12000000,123,123,123,123,123,123
2013/09/19 06:40,tpme,xag,1007.1,1012.1,1061.1,1010.2,1141.2,912.7,4904.92,12000000,123,123,123,123,123,123
2013/09/19 06:50,tpme,xag,1007.1,1012.1,1061.1,1010.2,1141.2,912.7,4904.92,12000000,123,123,123,123,123,123
2013/09/18 07:00,tpme,xag,1060.1,1015.1,1021.1,1030.2,1151.2,970.7,4904.92,12000000,123,123,123,123,123,123
2013/09/18 07:10,tpme,xag,1060.1,1015.1,1021.1,1030.2,1151.2,970.7,4904.92,12000000,123,123,123,123,123,123
2013/09/18 07:20,tpme,xag,1060.1,1015.1,1021.1,1030.2,1151.2,970.7,4904.92,12000000,123,123,123,123,123,123
2013/09/18 07:30,tpme,xag,1060.1,1015.1,1021.1,1030.2,1151.2,970.7,4904.92,12000000,123,123,123,123,123,123
2013/09/18 07:40,tpme,xag,1060.1,1015.1,1021.1,1030.2,1151.2,970.7,4904.92,12000000,123,123,123,123,123,123
2013/09/18 07:50,tpme,xag,1060.1,1015.1,1021.1,1030.2,1151.2,970.7,4904.92,12000000,123,123,123,123,123,123
2013/09/18 08:00,tpme,xag,1060.1,1015.1,1021.1,1030.2,1151.2,970.7,4904.92,12000000,123,123,123,123,123,123
2013/09/18 08:10,tpme,xag,1060.1,1015.1,1021.1,1030.2,1151.2,970.7,4904.92,12000000,123,123,123,123,123,123
2013/09/18 08:20,tpme,xag,1060.1,1015.1,1021.1,1030.2,1151.2,970.7,4904.92,12000000,123,123,123,123,123,123
2013/09/18 08:30,tpme,xag,1060.1,1015.1,1021.1,1030.2,1151.2,970.7,4904.92,12000000,123,123,123,123,123,123
2013/09/17 08:40,tpme,xag,1003.1,1017.1,1015.1,1040.2,1126.2,988.7,4904.92,12000000,123,123,123,123,123,123
2013/09/17 08:50,tpme,xag,1003.1,1017.1,1015.1,1040.2,1126.2,988.7,4904.92,12000000,123,123,123,123,123,123
2013/09/17 09:00,tpme,xag,1003.1,1017.1,1015.1,1040.2,1126.2,988.7,4904.92,12000000,123,123,123,123,123,123
2013/09/16 09:10,tpme,xag,1003.1,1017.1,1015.1,1040.2,1126.2,988.7,4904.92,12000000,123,123,123,123,123,123
2013/09/16 09:20,tpme,xag,1040.1,1018.1,1072.1,1050.2,1121.2,956.7,4904.92,12000000,123,123,123,123,123,123
2013/09/17 09:30,tpme,xag,1003.1,1017.1,1015.1,1040.2,1126.2,988.7,4904.92,12000000,123,123,123,123,123,123
2013/09/16 09:40,tpme,xag,1040.1,1018.1,1072.1,1050.2,1121.2,956.7,4904.92,12000000,123,123,123,123,123,123
2013/09/16 09:50,tpme,xag,1040.1,1018.1,1072.1,1050.2,1121.2,956.7,4904.92,12000000,123,123,123,123,123,123
2013/09/15 10:00,tpme,xag,1060.1,1022.1,1052.1,1060.2,1145.2,942.7,4904.92,12000000,123,123,123,123,123,123
2013/09/15 10:10,tpme,xag,1060.1,1022.1,1052.1,1060.2,1145.2,942.7,4904.92,12000000,123,123,123,123,123,123
2013/09/15 10:20,tpme,xag,1060.1,1022.1,1052.1,1060.2,1145.2,942.7,4904.92,12000000,123,123,123,123,123,123
2013/09/15 10:30,tpme,xag,1060.1,1022.1,1052.1,1060.2,1145.2,942.7,4904.92,12000000,123,123,123,123,123,123
2013/09/14 10:40,tpme,xag,1008.1,1014.1,1017.1,1020.2,1121.2,930.7,4904.92,12000000,123,123,123,123,123,123
2013/09/13 10:50,tpme,xag,1001.1,1099.1,1018.1,1012.2,1186.2,920.7,4904.92,12000000,123,123,123,123,123,123
2013/09/12 11:00,tpme,xag,1020.1,1055.1,1010.1,1088.2,1121.2,910.7,4904.92,12000000,123,123,123,123,123,123
2013/09/11 11:10,tpme,xag,1001.1,1044.1,1032.1,1061.2,1411.2,960.7,4904.92,12000000,123,123,123,123,123,123
2013/09/12 11:20,tpme,xag,1020.1,1055.1,1010.1,1088.2,1121.2,910.7,4904.92,12000000,123,123,123,123,123,123
2013/09/11 11:30,tpme,xag,1001.1,1044.1,1032.1,1061.2,1411.2,960.7,4904.92,12000000,123,123,123,123,123,123
2013/09/10 11:40,tpme,xag,1002.1,1028.1,1082.1,1022.2,1211.2,983.7,4904.92,12000000,123,123,123,123,123,123
2013/09/09 12:00,tpme,xag,1012.1,1021.1,1052.1,1051.2,1113.2,911.7,4904.92,12000000,123,123,123,123,123,123
2013/09/08 12:10,tpme,xag,1022.1,1033.2,1042.1,1026.2,1122.2,930.7,4904.92,12000000,123,123,123,123,123,123
2013/09/09 12:20,tpme,xag,1012.1,1021.1,1052.1,1051.2,1113.2,911.7,4904.92,12000000,123,123,123,123,123,123
2013/09/08 12:30,tpme,xag,1022.1,1033.2,1042.1,1026.2,1122.2,930.7,4904.92,12000000,123,123,123,123,123,123
2013/09/09 12:40,tpme,xag,1012.1,1021.1,1052.1,1051.2,1113.2,911.7,4904.92,12000000,123,123,123,123,123,123
2013/09/08 12:50,tpme,xag,1022.1,1033.2,1042.1,1026.2,1122.2,930.7,4904.92,12000000,123,123,123,123,123,123
2013/09/07 13:00,tpme,xag,1003.1,1044.1,1032.1,1000.2,1133.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/09/06 13:10,tpme,xag,1009.1,1010.1,1022.1,1023.2,1212.2,987.7,4904.92,12000000,123,123,123,123,123,123
2013/09/07 13:20,tpme,xag,1003.1,1044.1,1032.1,1000.2,1133.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/09/06 13:30,tpme,xag,1009.1,1010.1,1022.1,1023.2,1212.2,987.7,4904.92,12000000,123,123,123,123,123,123
2013/09/07 13:40,tpme,xag,1003.1,1044.1,1032.1,1000.2,1133.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/09/06 13:50,tpme,xag,1009.1,1010.1,1022.1,1023.2,1212.2,987.7,4904.92,12000000,123,123,123,123,123,123
2013/09/05 14:00,tpme,xag,1040.1,1021.1,1016.1,1021.2,1151.2,925.7,4904.92,12000000,123,123,123,123,123,123
2013/09/04 14:10,tpme,xag,1050.1,1021.1,1013.1,1000.2,1141.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/09/05 14:20,tpme,xag,1040.1,1021.1,1016.1,1021.2,1151.2,925.7,4904.92,12000000,123,123,123,123,123,123
2013/09/04 14:30,tpme,xag,1050.1,1021.1,1013.1,1000.2,1141.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/09/05 14:40,tpme,xag,1040.1,1021.1,1016.1,1021.2,1151.2,925.7,4904.92,12000000,123,123,123,123,123,123
2013/09/04 14:50,tpme,xag,1050.1,1021.1,1013.1,1000.2,1141.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/09/03 15:00,tpme,xag,1070.1,1031.1,1012.1,1000.2,1231.2,932.7,4904.92,12000000,123,123,123,123,123,123
2013/09/02 15:10,tpme,xag,1080.1,1041.1,1088.1,1000.2,1121.2,924.7,4904.92,12000000,123,123,123,123,123,123
2013/09/03 15:20,tpme,xag,1070.1,1031.1,1012.1,1000.2,1231.2,932.7,4904.92,12000000,123,123,123,123,123,123
2013/09/02 15:30,tpme,xag,1080.1,1041.1,1088.1,1000.2,1121.2,924.7,4904.92,12000000,123,123,123,123,123,123
2013/09/03 15:40,tpme,xag,1070.1,1031.1,1012.1,1000.2,1231.2,932.7,4904.92,12000000,123,123,123,123,123,123
2013/09/02 15:50,tpme,xag,1080.1,1041.1,1088.1,1000.2,1121.2,924.7,4904.92,12000000,123,123,123,123,123,123
2013/09/01 16:00,tpme,xag,1090.1,1051.1,1033.1,1000.2,1225.2,925.7,4904.92,12000000,123,123,123,123,123,123
2013/08/30 16:30,tpme,xag,1000.1,1001.1,1002.1,1000.2,1111.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/08/29 17:00,tpme,xag,1000.1,1001.1,1002.1,1000.2,1111.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/08/25 17:30,tpme,xag,1002.1,1051.1,1021.1,1055.2,1112.2,954.7,4904.92,12000000,123,123,123,123,123,123
2013/08/24 18:00,tpme,xag,1003.1,1061.1,1012.1,1066.2,1132.2,936.7,4904.92,12000000,123,123,123,123,123,123
2013/08/23 18:30,tpme,xag,1001.1,1071.1,1022.1,1074.2,1127.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/08/22 19:00,tpme,xag,1020.1,1081.1,1032.1,1046.2,1173.2,936.7,4904.92,12000000,123,123,123,123,123,123
2013/08/21 19:10,tpme,xag,1001.1,1091.1,1042.1,1038.2,1121.2,926.7,4904.92,12000000,123,123,123,123,123,123
2013/08/23 19:20,tpme,xag,1000.1,1001.1,1002.1,1000.2,1111.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/07/23 19:30,tpme,xag,1046.1,1047.1,1113.3,1011.2,1111.2,965.7,4904.92,12011011,123,123,123,123,123,123
2013/07/22 19:40,tpme,xag,1077.1,1086.1,1123.3,1022.2,1231.2,922.6,4904.92,12022033,123,123,123,123,123,123
2013/07/21 19:50,tpme,xag,1053.1,1028.1,1133.3,1033.2,1211.2,982.5,4904.92,12055055,123,123,123,123,123,123
2013/07/20 20:00,tpme,xag,1021.1,1083.1,1143.3,1014.2,1511.2,932.9,4904.92,12014014,123,123,123,123,123,123
2013/07/19 20:10,tpme,xag,1019.1,1058.1,1155.3,1088.2,1121.2,980.7,4904.92,12088000,123,123,123,123,123,123
2013/07/18 20:20,tpme,xag,1040.1,1038.1,1155.3,1000.2,1116.2,941.7,4904.92,12000000,123,123,123,123,123,123
2013/07/17 20:30,tpme,xag,1060.1,1073.1,1100.3,1047.2,1118.2,921.7,4904.92,12000000,123,123,123,123,123,123
2013/08/23 20:40,tpme,xag,1001.1,1038.1,1022.1,1074.2,1127.2,921.7,4904.92,12000000,123,123,123,123,123,123
2013/08/13 20:50,tpme,xag,1000.1,1001.1,1002.1,1000.2,1111.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/08/12 21:00,tpme,xag,1000.1,1001.1,1002.1,1000.2,1111.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/08/11 21:10,tpme,xag,1000.1,1001.1,1002.1,1000.2,1111.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/08/09 21:20,tpme,xag,1012.1,1021.1,1052.1,1051.2,1113.2,911.7,4904.92,12000000,123,123,123,123,123,123
2013/08/08 21:30,tpme,xag,1022.1,1033.2,1042.1,1026.2,1122.2,930.7,4904.92,12000000,123,123,123,123,123,123
2013/08/07 21:40,tpme,xag,1003.1,1044.1,1032.1,1000.2,1133.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/08/06 21:50,tpme,xag,1009.1,1010.1,1022.1,1023.2,1212.2,987.7,4904.92,12000000,123,123,123,123,123,123
2013/08/05 22:00,tpme,xag,1040.1,1021.1,1016.1,1021.2,1151.2,925.7,4904.92,12000000,123,123,123,123,123,123
2013/08/04 22:10,tpme,xag,1050.1,1021.1,1013.1,1000.2,1141.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/08/04 22:20,tpme,xag,1000.1,1001.1,1002.1,1000.2,1111.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/08/03 22:30,tpme,xag,1000.1,1001.1,1002.1,1000.2,1111.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/08/02 22:40,tpme,xag,1000.1,1001.1,1002.1,1000.2,1111.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/08/01 22:50,tpme,xag,1000.1,1001.1,1002.1,1000.2,1111.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/07/30 23:00,tpme,xag,1110.1,1001.1,1032.3,1021.2,1311.2,980.7,4904.92,12000000,123,123,123,123,123,123
2013/07/29 23:10,tpme,xag,1012.1,1101.1,1012.1,1036.2,1191.2,933.7,4904.92,12000000,123,123,123,123,123,123
2013/07/28 23:20,tpme,xag,1034.1,1057.1,1032.1,1045.2,1331.2,890.7,4904.92,12045045,123,123,123,123,123,123
2013/07/27 23:30,tpme,xag,1011.1,1026.1,1022.1,1121.2,1751.2,800.7,4904.92,12121121,123,123,123,123,123,123
2013/07/26 23:40,tpme,xag,1031.1,1034.1,1112.3,1039.2,1251.2,930.7,4904.92,12039039,123,123,123,123,123,123
2013/07/25 23:50,tpme,xag,1023.1,1041.1,1155.3,1023.2,1671.2,920.7,4904.92,12023023,123,123,123,123,123,123

